,spotify_song_id,weeks_on_chart,artists,name,peak_position
253,0qy5D3OJre7SPJNMOL9I71,55,DRAM,Broccoli ,11
254,0rGipWrGwAnZsaVkyiJpap,1,Kodak Black,Day for Day,171
255,0rHJxNaQRMGK6Y4TUx3xRO,4,Yo Gotti,Castro,153
256,0rKtyWc8bvkriBthvHKY8d,40,Joji,SLOW DANCING IN THE DARK,29
257,0rOLFkjY5DSIViVBNnzOuK,2,Joji,Sanctuary,19
258,0ro5QCkSCtbfhMHnvMase3,1,Lil Uzi Vert,How to Talk,83
259,0rzNMzZsubFcXSEh7dnem7,2,Beyoncé,Hold Up,130
260,0sDUkB6lAXbCpEFz28nSi1,1,Meghan Trainor,I'll Be Home,185
261,0sXvjZV7p4uvyPN4uQo3FH,1,Twenty One Pilots,Neon Gravestones,89
262,0sdbFOyfgAhAhWq8DpzkaW,3,Ariana Grande,the light is coming ,52
263,0tBbt8CrmxbjRP0pueQkyU,31,Selena Gomez,Wolves,5
264,0tEcSP5F6BP04gleb2hRnj,1,Tyga,Feel Me,146
265,0tMSssfxAL2oV8Vri0mFHE,9,Billie Eilish,listen before i go,20
266,0tPQPaOKM32WgMSbPCYyRH,1,David Guetta,Dirty Sexy Money ,196
267,0tXPhc8LvM4dPvoRwI66XQ,1,Michael Bublé,I'll Be Home for Christmas,188
268,0tYHqwTW4s6VuPWDSD7n7K,13,6ix9ine,KOODA,90
269,0tdCy39PgWN8LFWu34ORn3,6,21 Savage,Rap Saved Me,48
270,0tgVpDi06FyKpA1z0VMD4v,72,Ed Sheeran,Perfect,13
271,0u2P5u6lvoDfwTYjAADbn4,62,"Billie Eilish, Khalid, Khalid",lovely ,24
272,0u695M7KyzXaPIjpEbxOkB,2,Travis Scott,SICKO MODE - Skrillex Remix,124
273,0ubdf6zWT1It2saK41SkO0,2,Lil Wayne,Problems,26
274,0utlOiJy2weVl9WTkcEWHy,40,J. Cole,Neighbors,37
275,0uxSUdBrJy9Un0EYoBowng,10,Lil Uzi Vert,20 Min,120
276,0v2LUO8oTHnkjQ8MmKuXyk,2,Ariana Grande,raindrops (an angel cried),44
277,0v75ti1d2M6pd0sC42UNNN,1,Khalid,Salem's Interlude,125
278,0v9Wz8o0BT8DU38R4ddjeH,49,Chance the Rapper,No Problem ,24
279,0vrmHPfoBadXVr2n0m1aqZ,3,Avicii,Heaven,18
280,0w3Q14i073jLoew1hgJkwD,28,Jon Pardi,Heartache On The Dance Floor,117
281,0w5Bdu51Ka25Pf3hojsKHh,3,Paramore,Hard Times,81
282,0w7IgpqkxKyRBTqGuQbZNp,1,Desiigner,Priice Tag,137
283,0wE6AaKnovGUAnwmSxHFrr,1,ScHoolboy Q,Water ,177
284,0wEC0GNF74lAqrEFZJMl1m,2,"Tyler, The Creator",PUPPET,24
285,0wH7iJqYQnmUU09YGcQPHo,1,Halsey,Not Afraid Anymore,142
286,0wXuerDYiBnERgIpbb3JBR,82,Childish Gambino,Redbone,9
287,0wbnC9AUenxp613TYaJsGK,33,Migos,Narcos,3
288,0wdV94AXGRphrbkDWLNzVC,1,Panic! At The Disco,Roaring 20s,77
289,0wfbD5rAksdXUzRvMfM3x5,11,The Chainsmokers,The One,18
290,0wwPcA6wtMf6HUMpIRdeP7,7,Drake,Hotline Bling,151
291,0wyja8xD9cNhDtfuY0dVMP,1,Thomas Rhett,Leave Right Now,98
292,0xKNTDmIym4R2TfKnS4FQo,1,BTS,Airplane pt.2,113
293,0xl1w2q4VLojeXp4JfazPL,9,Drake,Sacrifices,12
294,0xxZY5C9xxij3D1HkzbnfC,2,"Bobby ""Boris"" Pickett",Monster Mash,188
295,0y9uTzK9cNKSAEHnpeRG8C,6,Kendrick Lamar,DUCKWORTH.,20
296,0yFvWTLs3iIwDbc91noXGT,6,Chance the Rapper,GRoCERIES,47
297,0yhxBvedRdGxsPZHJNI4VA,3,Kanye West,I Thought About Killing You,8
298,0z5HSQGWgnjdNvwbOmhB2w,1,Carpenters,Merry Christmas Darling - Album Version/Remix,165
299,0zbzrhfVS9S2TszW3wLQZ7,12,JP Cooper,September Song,86
300,0zqy3ss4CwD6u4QPksS0nI,5,Drake,8 Out Of 10,10
301,100eDEmpWV5YGVCqHI0leU,5,Sia,Audio,102
302,104buTcnP2AsxqB7U1FIZ4,5,Linkin Park,Heavy ,51
