,spotify_song_id,weeks_on_chart,artists,name,peak_position
245,1SJtlNRJDeYHioymcvsqev,9,Camila Cabello,Crying In The Club,47
246,1SV1fxF65n9NhRHp3KlBuu,1,Paul McCartney,Wonderful Christmastime,47
247,1SxagO9GK0UUeEYLmH8Pln,1,Trippie Redd,Toxic Waste,98
248,1Szfm2XAx3Kgl55dyl8sTU,1,Lil Baby,Time,62
249,1TEL6MlSSVLSdhOSddidlJ,4,Ariana Grande,Needy,14
250,1ThmUihH9dF8EV08ku5AXN,11,Ski Mask The Slump God,Faucet Failure,87
251,1Tnw0ItH1Macok8gblnPPd,2,Drake,Is There More,36
252,1UZOjK1BwmwWU14Erba9CZ,15,Miley Cyrus,Malibu,10
253,1W6wxOOYyJyyok8fqYSZ3m,7,DJ Khaled,Top Off,22
254,1WIZiOuNO3woKfdlSK2gNn,16,Kodak Black,Transportin',46
255,1WSGTYKLEpKfNQYYW5Oymt,5,"benny blanco, Tainy, Selena Gomez, J Balvin",I Can't Get Enough,66
256,1WkMMavIMc4JZ8cfMmxHkI,20,Justin Timberlake,Can't Stop The Feeling!,13
257,1WlU4jsJ8AoTB96dgd8LJA,1,Future,Call The Coroner,100
258,1XJBDDpeuZaj5fvmwhdIMw,1,Kodak Black,Take One,81
259,1XRgIKC5TPwo7nWGyKqgG0,26,Gucci Mane,I Get The Bag,11
260,1XazlqB4YAtvouCmJPWXlM,9,Brett Eldredge,Wanna Be That Song,46
261,1ZAyjvIk9YiD76yYy0TEG6,20,Rich The Kid,Plug Walk,13
262,1ZY1PqizIl78geGM4xWlEA,4,Taylor Swift,Gorgeous,13
263,1ZemPoaj7LBj1RAQrb89EC,2,Post Malone,Blame It On Me,47
264,1a7WZZZH7LzyvorhpOJFTe,6,Juice WRLD,Wasted,67
265,1bPoQ1zaUWZmiYrckwfulU,1,Iggy Azalea,Sally Walker,62
266,1bx4Jw8A7GQtImIQGccI6D,1,Meek Mill,Almost Slipped,73
267,1c0hsvHLELX6y8qymnpLKL,6,"Lunay, Daddy Yankee, Bad Bunny",Soltera,73
268,1cKHdTo9u0ZymJdPGSh6nq,1,The Weeknd,I Was Never There,35
269,1cS0TgbR263ey9jn0MwD2s,12,Eminem,River,32
270,1dFLowBW25EaL2OC7eKEa2,20,Lady Antebellum,You Look Good,59
271,1dQ84P0W0lOckT02lPEhhP,1,Meek Mill,Millidelphia,73
272,1dUHF4RyMmMTveJ0Rby6Xm,4,Drake,Can't Take A Joke,18
273,1dyxS3YzBbL0t8rEVwVQ1K,12,Blake Shelton,God's Country,19
274,1e1JKLEDKP7hEQzJfNAgPl,20,Playboi Carti,Magnolia,29
275,1e4rwBPVI32vZtTJu7mJ4J,16,Li,Chun,10
276,1f5PNhkNgUpvDEeZfcIlO1,5,Cardi B,I Do,23
277,1f5cbQtDrykjarZVrShaDI,21,A Boogie Wit da Hoodie,Drowning,38
278,1fewSx2d5KIZ04wsooEBOz,6,Metro Boomin,Space Cadet,51
279,1fnRwgZLgAYMM1dVL1oqwG,1,Plies,Real Hitta,100
280,1fvCggAYrW0VtCljtqv4h2,2,TakeOff,Last Memory,54
281,1g1TeDflB6atAy7HKwrzXu,1,Kesha,Learn To Let Go,97
282,1gT5TGwbkkkUliNzHRIGi1,2,JAY,4:44,35
283,1h0yImRPIVAjhhHeNVlTuC,2,Shawn Mendes,Youth,65
284,1hFtJ5rV3aAm58ErijHdFO,1,Mariah Carey,I Don't,89
285,1i1fxkWeaMmKEB4T7zqbzK,8,The Chainsmokers,Don't Let Me Down,29
286,1iTWoKAdilGEmit6xhQZje,4,Lil Yachty,Peek A Boo,78
287,1j4kHkkpqZRBwE0A4CN4Yv,16,Zayn,Dusk Till Dawn,44
288,1jQsKN68yE94tMYml0wHMd,1,Big Sean,Jump Out The Window,76
289,1jYiIOC5d6soxkJP81fxq2,22,DJ Khaled,I'm The One,1
290,1jo3TwNGCXfNdB5uba3ZVv,8,Eminem,Killshot,3
