artists_ids,artists_names,made_charts,track_album_name,track_album_release_date,track_art_url,track_id,track_name,track_preview_url,num_faces
"['3XVpDdKav6C6zwlDXPhMEO', '3RNcvKfUnyALZxATNSO8PS', '1sPpJhevOYz54gNgeh2LaV']","['Kamaiyah', 'Capolow', 'Keak Da Sneak']",0.0,Oakland Nights,2020-09-18,https://i.scdn.co/image/ab67616d0000b273b74a6aaf658c079bad539f54,74NHwWpGzCtATEvnZ3vQRg,Oakland Nights,https://p.scdn.co/mp3-preview/8450b3488f5345ffda07914a8be5a463b1de07e2?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['05oH07COxkXKIMt6mIPRee'],['Brandy'],0.0,Brandy,1994,https://i.scdn.co/image/ab67616d0000b27345b86aa8f8be545955be7e8c,0YwUJOHKYxlm5gVfIkl8Ym,Best Friend,https://p.scdn.co/mp3-preview/6395629248adb5fc97cc512d2f7e6a024364c0cd?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
"['2gBjLmx6zQnFGQJCAQpRgw', '3AuMNF8rQAKOzjYppFNAoB']","['Nelly', 'Kelly Rowland']",0.0,Nellyville,2002-06-25,https://i.scdn.co/image/ab67616d0000b273a8b9f97b9ea065b9a857e93f,0ARK753YaiJbpLUk7z5yIM,Dilemma,,
"['4YlNOUhBi6YAoVSfkam58J', '3elR9fj2COXgTJlJm7NtP7']","['Young Marqus', 'YG']",0.0,Its Whuteva (feat. Yg),2014-06-03,https://i.scdn.co/image/ab67616d0000b273a9d69ce1ccb18729edcaca50,28lTK6oO2ccLsAhWSHiAce,Its Whuteva (feat. Yg),https://p.scdn.co/mp3-preview/d99336151f98f8d657f6de78af3df55b599987a5?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['2wIVse2owClT7go1WT98tk'],['Missy Elliott'],0.0,Miss E... So Addictive,2001-05-14,https://i.scdn.co/image/ab67616d0000b2732e3969990abe1229c0879a7b,6zsk6uF3MxfIeHPlubKBvR,Get Ur Freak On,https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['1W3FSF1BLpY3hlVIgvenLz'],['The-Dream'],0.0,Love Vs Money,2009-01-01,https://i.scdn.co/image/ab67616d0000b2734895d86d023cc3aef4fb1210,6FYBcMhwABrPvxGkQiXEON,Fancy,,
['4UPcJIhr5K5fPsm4itqT7E'],['After 7'],0.0,After 7,1989-01-01,https://i.scdn.co/image/ab67616d0000b27333a9eef75de0a6bdfbad65ac,6AgDFWLbbAt2migXMbrhXT,Ready Or Not,,
['4r63FhuTkUYltbVAg5TQnk'],['DaBaby'],0.0,Blank Blank,2018-11-02,https://i.scdn.co/image/ab67616d0000b27322d036951a7d3cef1468c252,1AdXchAT6hBUm5d6y4nKjI,21,,
['6oMuImdp5ZcFhWP0ESe6mG'],['Migos'],0.0,No Label II,2014-06-03,https://i.scdn.co/image/ab67616d0000b273c0f275798fc87a26c3d3c5e4,61zTSexBvC42Db8jxMHuKx,Handsome And Wealthy,https://p.scdn.co/mp3-preview/d86469722a8b0b3bb079b8d1128202804c7ada7e?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['3Fl1V19tmjt57oBdxXKAjJ'],['Blueface'],0.0,Dirt Bag,2019-08-09,https://i.scdn.co/image/ab67616d0000b273e186bb6ef785e65fa3ad989b,6rC06yWehxOD8mN7fxGNMb,Disrespectful,,
"['2gBjLmx6zQnFGQJCAQpRgw', '4sbB4Yy6Qig51pKCIKSLw3']","['Nelly', 'Jaheim']",0.0,Suit,2004-09-14,https://i.scdn.co/image/ab67616d0000b2736ff5d0f68b2677a4fe953c12,1NAyvpW70a9lxY0YlLWFV4,My Place,,
['5pnbUBPifNnlusY8kTBivi'],['Jadakiss'],0.0,Kiss Of Death,2004-01-01,https://i.scdn.co/image/ab67616d0000b273dc1887f571315429ab82bd60,5aqngZ2nVJr7Yc0T9N5kgO,By Your Side,,
"['7ibAWtDtmEfaVhc1FJ3Vl9', '1pCVxwkdixCeBPTboRZIi2', '6dROiL44pIQZVNZ6Bc0OJO']","['Eric Bellinger', 'TeeFLii', 'Pleasure P']",0.0,Choose Up Season,2016-03-21,https://i.scdn.co/image/ab67616d0000b2737e32b6fc2c9f81320728a194,5XVZphWO3NaAbDFhxN7FHe,Valet,https://p.scdn.co/mp3-preview/1abdd9e1eb48be0572e01a80edd34460a6c38316?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
